Model,lr,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20
GRU4Rec,0.001,0.1165,0.0732,0.1888,0.0965,0.2867,0.1211
GRU4Rec,0.0005,0.1206,0.0772,0.1942,0.1009,0.2942,0.1261
